SEQ,LONG,LAT,LOCAL_ED,LOCALIZACA,REFERENCIA,DATA,MES,H_INICIO,H_FIM,DURACAO,DUR_H,id_estacao,codestacao,latitude,longitude,nome,id_municip,rede,tipoestaca,geocodigo,cidade,xcoord,ycoord
450.00000,-46.64249,-23.53660,AV RIO BRANCO,AV RIO BRANCO,AV DUQ DE CAXIAS-BAIRROCENTRO-SE,2019/02/26,2.00000,07:14:00,16:57:00,09:43:00,9.72000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
455.00000,-46.62704,-23.54312,AV MERCURIO,AV MERCURIO,PC S VITO-UNICO-SE,2019/02/26,2.00000,07:51:00,17:05:00,09:14:00,9.23000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
459.00000,-46.64456,-23.54943,PC DESEM MARIO PIRES,PC DESEM MARIO PIRES,R MARTINS FONTES-CENTROBAIRRO-SE,2019/02/26,2.00000,08:29:00,17:02:00,08:33:00,8.55000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
486.00000,-46.64249,-23.53660,AV RIO BRANCO,AV RIO BRANCO REPUBLICA,AV DUQ DE CAXIAS-BAIRROCENTRO - UNICA-SE,2019/03/02,3.00000,19:13:00,19:23:00,00:10:00,0.17000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
494.00000,-46.63811,-23.54732,TN PAPA JOAO PAULO II,TN PAPA JOAO PAULO II (REPUBLICA),ALTURA DO N├ÜMERO 0 - SANTANA/AEROPORTO,2019/03/02,3.00000,19:29:00,20:42:00,01:13:00,1.22000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
496.00000,-46.63824,-23.55033,AV VINTE E TRES DE MAIO,AV VINTE E TRES DE MAIO,PC DA BANDEIRA - SANTANA/AEROPORTO,2019/03/02,3.00000,19:43:00,19:55:00,00:12:00,0.20000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
515.00000,-46.64177,-23.53758,AV RIO BRANCO,AV RIO BRANCO,R GAL OSORIO - BAIRRO/CENTRO - ├ÜNICA,2019/03/02,3.00000,20:28:00,20:43:00,00:15:00,0.25000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
536.00000,-46.63219,-23.54198,R VINTE E CINCO DE MARCO,R VINTE E CINCO DE MARCO,R HERCULES FLORENCE-UNICO-SE,2019/03/05,3.00000,18:12:00,21:09:00,02:57:00,2.95000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
539.00000,-46.62815,-23.54028,AV DO ESTADO,AV DO ESTADO,ALTURA DO NUMERO 2950-SANTANAIPIRANGA-SE,2019/03/05,3.00000,18:20:00,21:16:00,02:56:00,2.93000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
540.00000,-46.62947,-23.54036,AV MERCURIO,AV MERCURIO,R DA CANTAREIRA-UNICO - DIREITA-SE,2019/03/05,3.00000,18:24:00,21:17:00,02:53:00,2.88000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
541.00000,-46.63074,-23.53993,AV SEN QUEIROS,AV SEN QUEIROS,R BR DE DUPRAT-UNICO - DIREITA-SE,2019/03/05,3.00000,18:24:00,21:16:00,02:52:00,2.87000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
543.00000,-46.62856,-23.55717,R TEIXEIRA LEITE,R TEIXEIRA LEITE LIBERDADE,R S PAULO-UNICO-SE,2019/03/05,3.00000,18:37:00,20:33:00,01:56:00,1.93000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
575.00000,-46.64115,-23.53824,AV RIO BRANCO,AV RIO BRANCO,R DOS GUSMOES-CENTROBAIRRO-SE,2019/03/07,3.00000,16:48:00,19:21:00,02:33:00,2.55000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
576.00000,-46.62704,-23.54312,AV MERCURIO,AV MERCURIO,PC S VITO-UNICO - ESQUERDA-SE,2019/03/07,3.00000,17:34:00,17:58:00,00:24:00,0.40000,3809,355030857A,-23.54100,-46.62900,Centro,2692,CEMADEN,Pluviométrica,3550308,SÃO PAULO,-46.62900,-23.54100
